Designator,Mid X,Mid Y,Rotation,Layer
C1,86.5,-83.0,0.0,bottom
C10,148.3,-59.5,180.0,bottom
C11,53.045,-58.75,180.0,bottom
C2,90.0,-85.0,0.0,bottom
C3,86.5,-85.0,0.0,bottom
C4,93.0,-84.5,270.0,bottom
C5,114.45,-53.7,90.0,bottom
C6,110.0,-57.05,270.0,bottom
C7,97.55,-55.5,270.0,bottom
C8,148.475,-62.0,180.0,bottom
C9,57.25,-58.75,0.0,bottom
D1,89.0,-62.5,270.0,bottom
D2,139.4375,-53.0,180.0,bottom
D3,134.4375,-53.0,180.0,bottom
J1,88.5,-54.754,180.0,bottom
J2,183.591,-79.0,270.0,bottom
J3,183.591,-64.75,270.0,bottom
L1,90.0,-83.5,0.0,bottom
R1,85.5,-60.0,0.0,bottom
R2,91.5,-60.0,180.0,bottom
R3,139.4375,-55.0,0.0,bottom
R4,134.4375,-55.0,0.0,bottom
S1,118.45,-53.319,0.0,bottom
SW1,180.365,-93.19,180.0,bottom
SW10,104.365,-112.19,180.0,bottom
SW11,85.365,-95.19,180.0,bottom
SW12,85.365,-114.19,180.0,bottom
SW13,66.365,-95.19,180.0,bottom
SW14,66.365,-114.19,180.0,bottom
SW15,70.365,-57.19,180.0,bottom
SW16,70.365,-76.19,180.0,bottom
SW2,180.365,-112.19,180.0,bottom
SW3,161.365,-90.19,180.0,bottom
SW4,161.365,-109.19,180.0,bottom
SW5,142.365,-87.19,180.0,bottom
SW6,142.365,-106.19,180.0,bottom
SW7,123.365,-90.19,180.0,bottom
SW8,123.365,-109.19,180.0,bottom
SW9,104.365,-93.19,180.0,bottom
U1,88.5,-73.5,0.0,bottom
U2,104.0,-55.5,0.0,bottom
